Generation	Length (cm)	Epithelial diameter	Advection (mm/min)	Time to clear (hrs)	ASL Height (lower, um)	ASL Height (upper, um)
nasal	13	5	8.8	0.2462121212	17	17
0	10	2.01	5.5	0.303030303	50	50
1	4.36	1.56	3.91	0.1858482523		
2	1.78	1.13	2.49	0.1191432396		
3	0.965	0.827	1.54	0.1044372294		
4	0.995	0.651	0.889	0.1865391826		
5	1.01	0.574	0.496	0.3393817204	15.749	28.062
6	0.89	0.435	0.296	0.5011261261		
7	0.962	0.373	0.167	0.9600798403		
8	0.867	0.322	0.101	1.4306930693		
9	0.667	0.257	0.0616	1.8046536797		
10	0.556	0.198	0.0396	2.3400673401	4.961	15.749
11	0.446	0.156	0.0252	2.9497354497		
12	0.359	0.118	0.0165	3.6262626263		
13	0.275	0.092	0.0113	4.0560471976		
14	0.212	0.073	0.00795	4.4444444444		
15	0.168	0.06	0.00568	4.9295774648	1.562	8.839
16	0.134	0.054	0.00408	5.4738562092		
17	0.12	0.05	0.00283	7.0671378092		
18	0.092	0.047	0.00139	11.03117506		
19	0.08	0.045	0.00096	13.8888888889		
20	0.07	0.044	0.00063	18.5185185185	0.492	4.961
21	0.063	0.044				
22	0.057	0.043				
23	0.025	0.03			0.246	3.508
